STATE_NAME_2011,SSC_NAME_2011,POA_CODE_2011
Victoria,Alfredton,3350
Victoria,Cardigan,3352
Victoria,Cardigan Village,3352
Victoria,Lake Gardens,3355
Victoria,Newington (Vic.),3350
Victoria,Lake Wendouree,3350
Victoria,Ballarat Central,3350
Victoria,Bakery Hill,3350
Victoria,Nerrina,3350
Victoria,Eureka (Vic.),3350
Victoria,Ballarat East,3350
Victoria,Brown Hill (Vic.),3350
Victoria,Warrenheip,3352
Victoria,Invermay Park,3350
Victoria,Ballarat North,3350
Victoria,Soldiers Hill (Vic.),3350
Victoria,Black Hill (Vic.),3350
Victoria,Invermay (Vic.),3352
Victoria,Sebastopol (Vic.),3356
Victoria,Golden Point (Ballarat - Vic.),3350
Victoria,Mount Pleasant (Vic.),3350
Victoria,Canadian,3350
Victoria,Mount Clear,3350
Victoria,Redan,3350
Victoria,Buninyong,3357
Victoria,Mount Helen,3350
Victoria,Magpie,3352
Victoria,Delacombe,3356
Victoria,Smythes Creek,3351
Victoria,Bunkers Hill,3352
Victoria,Bonshaw (Vic.),3352
Victoria,Ross Creek (Vic.),3351
Victoria,Haddon,3351
Victoria,Cambrian Hill,3352
Victoria,Wendouree,3355
Victoria,Mitchell Park (Vic.),3355
Victoria,Mount Rowan,3352
Victoria,Miners Rest,3352
Victoria,Ballan,3342
Victoria,Greendale (Vic.),3341
Victoria,Dales Creek,3341
Victoria,Myrniong,3341
Victoria,Blackwood (Vic.),3458
Victoria,Korobeit,3341
Victoria,Parwan,3340
Victoria,Beremboke,3342
Victoria,Rowsley,3340
Victoria,Creswick,3363
Victoria,Dean,3363
Victoria,Broomfield,3364
Victoria,Allendale,3364
Victoria,Learmonth (Vic.),3352
Victoria,Windermere (Vic.),3352
Victoria,Clunes (Vic.),3370
Victoria,Kingston (Vic.),3364
Victoria,Smeaton,3364
Victoria,Sulky,3352
Victoria,Ascot (Ballarat - Vic.),3364
Victoria,Drummond,3461
Victoria,Blampied,3364
Victoria,Newlyn North,3364
Victoria,Korweinguboora,3461
Victoria,Lyonville,3461
Victoria,Trentham,3458
Victoria,Wheatsheaf,3461
Victoria,Hepburn Springs,3461
Victoria,Daylesford,3460
Victoria,Hepburn,3461
Victoria,Yandoit,3461
Victoria,Mount Franklin,3461
Victoria,Eganstown,3461
Victoria,Glenlyon (Vic.),3461
Victoria,Musk,3461
Victoria,Elaine,3334
Victoria,Morrisons,3334
Victoria,Durham Lead,3352
Victoria,Lal Lal,3352
Victoria,Yendon,3352
Victoria,Navigators,3352
Victoria,Dunnstown,3352
Victoria,Millbrook (Vic.),3352
Victoria,Bungaree (Vic.),3352
Victoria,Springbank,3352
Victoria,Clarendon (Vic.),3352
Victoria,Mount Egerton,3352
Victoria,Gordon (Vic.),3345
Victoria,Avoca (Vic.),3467
Victoria,Elmhurst,3469
Victoria,Moonambel,3478
Victoria,Amphitheatre,3468
Victoria,Waubra,3352
Victoria,Lexton,3352
Victoria,Landsborough (Vic.),3384
Victoria,Beaufort (Vic.),3373
Victoria,Raglan (Vic.),3373
Victoria,Skipton,3361
Victoria,Trawalla,3352
Victoria,Snake Valley,3351
Victoria,Carngham,3351
Victoria,Burrumbeet,3352
Victoria,Chepstowe,3351
Victoria,Napoleons,3352
Victoria,Garibaldi,3352
Victoria,Smythesdale,3351
Victoria,Linton,3360
Victoria,Berringa,3351
Victoria,Scarsdale,3351
Victoria,Enfield (Vic.),3352
Victoria,Mannibadar,3360
Victoria,Maryborough (Vic.),3465
Victoria,Dunolly (Vic.),3472
Victoria,Carisbrook,3464
Victoria,Bealiba,3475
Victoria,Talbot (Vic.),3371
Victoria,Daisy Hill (Vic.),3465
Victoria,Majorca,3371
Victoria,Bet Bet,3472
Victoria,Bowenvale,3465
Victoria,Alma (Vic.),3465
Victoria,North Bendigo,3550
Victoria,Bendigo,3550
Victoria,Long Gully,3550
Victoria,West Bendigo,3550
Victoria,Ironbark (Vic.),3550
Victoria,California Gully,3556
Victoria,Eaglehawk,3556
Victoria,Jackass Flat,3556
Victoria,Sailors Gully,3556
Victoria,Strathdale,3550
Victoria,East Bendigo,3550
Victoria,Kennington,3550
Victoria,East Bendigo,3551
Victoria,Spring Gully (Vic.),3550
Victoria,Flora Hill,3550
Victoria,Quarry Hill,3550
Victoria,Kangaroo Flat (Vic.),3555
Victoria,Big Hill,3555
Victoria,Golden Square,3555
Victoria,Golden Gully,3555
Victoria,Maiden Gully,3551
Victoria,Strathfieldsaye,3551
Victoria,Junortoun,3551
Victoria,White Hills (Vic.),3550
Victoria,Ascot,3551
Victoria,Epsom (Vic.),3551
Victoria,Huntly,3551
Victoria,White Hills (Vic.),3551
Victoria,Emu Creek (Vic.),3551
Victoria,Eppalock,3551
Victoria,Sedgwick,3551
Victoria,Ravenswood (Vic.),3453
Victoria,Mandurang South,3551
Victoria,Leichardt,3516
Victoria,Shelbourne,3463
Victoria,Marong,3515
Victoria,Lockwood,3551
Victoria,Lockwood South,3551
Victoria,Mandurang,3551
Victoria,Lyal,3444
Victoria,Axe Creek,3551
Victoria,Castlemaine,3450
Victoria,Chewton,3451
Victoria,McKenzie Hill,3451
Victoria,Campbells Creek,3451
Victoria,Harcourt,3453
Victoria,Newstead (Vic.),3462
Victoria,Baringhup,3463
Victoria,Walmer (Vic.),3463
Victoria,Metcalfe,3444
Victoria,Redesdale,3444
Victoria,Harcourt North,3453
Victoria,Maldon (Vic.),3463
Victoria,Sandon (Vic.),3462
Victoria,Yapeen,3451
Victoria,Fryerstown,3451
Victoria,Taradale (Vic.),3447
Victoria,Elphinstone (Vic.),3448
Victoria,Welshmans Reef,3463
Victoria,Guildford (Vic.),3451
Victoria,Muckleford,3451
Victoria,Faraday,3451
Victoria,Barkers Creek,3451
Victoria,Heathcote (Vic.),3523
Victoria,Axedale,3551
Victoria,Mount Camel,3523
Victoria,Mia Mia (Vic.),3523
Victoria,Knowsley,3523
Victoria,Kyneton,3444
Victoria,Carlsruhe,3442
Victoria,Tylden,3444
Victoria,Lauriston,3444
Victoria,Baynton (Vic.),3444
Victoria,Malmsbury,3446
Victoria,Woodend (Vic.),3442
Victoria,Newham,3442
Victoria,Woodend North,3442
Victoria,Ashbourne (Vic.),3442
Victoria,Longlea,3551
Victoria,Elmore,3558
Victoria,Goornong,3557
Victoria,Hunter,3558
Victoria,Myers Flat,3556
Victoria,Woodvale (Vic.),3556
Victoria,Neilborough,3570
Victoria,Raywood,3570
Victoria,Sebastian,3556
Victoria,Bagshot,3551
Victoria,Wellsford,3551
Victoria,Inglewood (Vic.),3517
Victoria,Bridgewater On Loddon,3516
Victoria,Bridgewater (Vic.),3516
Victoria,Tarnagulla,3551
Victoria,Serpentine (Vic.),3517
Victoria,Newbridge (Vic.),3551
Victoria,Rheola,3518
Victoria,Wedderburn (Vic.),3518
Victoria,Korong Vale,3520
Victoria,Glenalbyn,3517
Victoria,Dingee,3571
Victoria,Boort,3537
Victoria,Calivil,3573
Victoria,Pyramid Hill,3575
Victoria,Bannockburn (Vic.),3331
Victoria,Batesford,3221
Victoria,Gheringhap,3221
Victoria,Russells Bridge,3331
Victoria,Murgheboluc,3221
Victoria,Teesdale (Vic.),3328
Victoria,Meredith,3333
Victoria,Lethbridge,3332
Victoria,Inverleigh,3321
Victoria,Maude (Vic.),3331
Victoria,She Oaks,3331
Victoria,Shelford,3329
Victoria,Dereel,3352
Victoria,Rokewood,3330
Victoria,Winchelsea,3241
Victoria,Modewarre,3240
Victoria,Gnarwarre,3221
Victoria,Deans Marsh,3235
Victoria,Winchelsea South,3241
Victoria,Barrabool,3221
Victoria,Freshwater Creek,3216
Victoria,Mount Moriac,3240
Victoria,Paraparap,3240
Victoria,Gherang,3240
Victoria,Moriac,3240
Victoria,Belmont (Vic.),3216
Victoria,Corio,3214
Victoria,Lovely Banks,3221
Victoria,Norlane,3214
Victoria,North Shore (Vic.),3214
Victoria,Moorabool,3221
Victoria,Geelong,3220
Victoria,South Geelong,3220
Victoria,Breakwater,3219
Victoria,Thomson,3219
Victoria,East Geelong,3219
Victoria,Manifold Heights,3218
Victoria,Herne Hill (Vic.),3218
Victoria,Geelong West,3218
Victoria,Hamlyn Heights,3215
Victoria,Fyansford,3221
Victoria,Grovedale,3216
Victoria,Marshall,3216
Victoria,Waurn Ponds,3216
Victoria,Mount Duneed,3216
Victoria,Highton,3216
Victoria,Highton,3217
Victoria,Wandana Heights,3216
Victoria,Ceres,3221
Victoria,Lara,3212
Victoria,Anakie,3221
Victoria,Balliang,3340
Victoria,Little River (Vic.),3211
Victoria,Avalon (Vic.),3212
Victoria,Leopold,3224
Victoria,Newcomb,3219
Victoria,St Albans Park,3219
Victoria,Whittington,3219
Victoria,Moolap,3221
Victoria,Newtown,3220
Victoria,Bell Park,3215
Victoria,North Geelong,3215
Victoria,Bell Post Hill,3215
Victoria,Drumcondra,3215
Victoria,Rippleside,3215
Victoria,Drysdale,3222
Victoria,Curlewis (Vic.),3222
Victoria,Clifton Springs,3222
Victoria,Fairhaven,3231
Victoria,Lorne (Vic.),3232
Victoria,Aireys Inlet,3231
Victoria,Anglesea,3230
Victoria,Lorne (Vic.),3231
Victoria,Ocean Grove,3226
Victoria,Barwon Heads,3227
Victoria,Marcus Hill,3222
Victoria,Wallington,3221
Victoria,Connewarre,3227
Victoria,Breamlea,3227
Victoria,Portarlington,3223
Victoria,Indented Head,3223
Victoria,St Leonards (Vic.),3223
Victoria,Point Lonsdale,3225
Victoria,Queenscliff (Vic.),3225
Victoria,Mannerim,3222
Victoria,Torquay (Vic.),3228
Victoria,Jan Juc,3228
Victoria,Bells Beach,3228
Victoria,Bellbrae,3228
Victoria,Marysville,3779
Victoria,Buxton (Vic.),3711
Victoria,Alexandra (Vic.),3714
Victoria,Eildon,3713
Victoria,Yarck,3719
Victoria,Acheron,3714
Victoria,Taggerty,3714
Victoria,Thornton (Vic.),3712
Victoria,Taylor Bay,3713
Victoria,Narbethong (Vic.),3778
Victoria,Euroa,3666
Victoria,Violet Town,3669
Victoria,Miepoll,3666
Victoria,Longwood (Vic.),3666
Victoria,Ruffy,3666
Victoria,Balmattum,3666
Victoria,Strathbogie,3666
Victoria,Willowmavin,3764
Victoria,Kilmore,3764
Victoria,Broadford,3658
Victoria,Reedy Creek (Vic.),3658
Victoria,Kilmore East,3764
Victoria,Jamieson (Vic.),3723
Victoria,Merton,3715
Victoria,Bonnie Doon (Vic.),3720
Victoria,Tolmie,3723
Victoria,Mansfield (Vic.),3722
Victoria,Merrijig,3723
Victoria,Howqua Hills,3723
Victoria,Howqua Inlet,3723
Victoria,Goughs Bay,3723
Victoria,Mount Buller,3723
Victoria,Barjarg,3723
Victoria,Nagambie,3608
Victoria,Wahring,3608
Victoria,Mangalore (Vic.),3663
Victoria,Bailieston,3608
Victoria,Avenel,3664
Victoria,Kirwans Bridge,3608
Victoria,Seymour (Vic.),3660
Victoria,Tallarook,3659
Victoria,Pyalong,3521
Victoria,Puckapunyal,3662
Victoria,Hilldene,3660
Victoria,Whiteheads Creek,3660
Victoria,Sugarloaf Creek,3658
Victoria,Tooborac,3522
Victoria,McMahons Creek,3799
Victoria,Glenburn,3717
Victoria,Highlands,3660
Victoria,Yea,3717
Victoria,Flowerdale (Vic.),3717
Victoria,Strath Creek,3658
Victoria,Murrindindi,3717
Victoria,Hazeldene,3658
Victoria,Benalla,3672
Victoria,Goorambat,3725
Victoria,Taminick,3726
Victoria,Devenish,3726
Victoria,Baddaginnie,3670
Victoria,Warrenbayne,3670
Victoria,Swanpool,3673
Victoria,Tatong,3673
Victoria,Lurg,3673
Victoria,Winton (Vic.),3673
Victoria,Wahgunyah,3687
Victoria,Norong,3682
Victoria,Rutherglen,3685
Victoria,Wangaratta (Vic.),3677
Victoria,Waldara,3678
Victoria,Springhurst,3682
Victoria,Eldorado,3746
Victoria,Tarrawingee,3678
Victoria,East Wangaratta,3678
Victoria,North Wangaratta,3678
Victoria,Everton,3678
Victoria,Wangaratta South,3678
Victoria,Byawatha,3678
Victoria,Boorhaman,3678
Victoria,Moyhu,3732
Victoria,Milawa,3678
Victoria,Oxley (Vic.),3678
Victoria,Whorouly,3735
Victoria,Markwood,3678
Victoria,Laceby,3678
Victoria,Glenrowan,3675
Victoria,Peechelba,3678
Victoria,Wangandary,3678
Victoria,Greta West,3675
Victoria,Greta South,3675
Victoria,Cheshunt,3678
Victoria,Whitfield (Vic.),3733
Victoria,King Valley,3678
Victoria,Carboor,3678
Victoria,Beechworth,3747
Victoria,Stanley (Vic.),3747
Victoria,Wooragee,3747
Victoria,Bright (Vic.),3741
Victoria,Porepunkah,3740
Victoria,Mount Beauty,3699
Victoria,Tawonga South,3698
Victoria,Harrietville,3741
Victoria,Wandiligong,3744
Victoria,Buffalo River,3737
Victoria,Tawonga,3697
Victoria,Upper Gundowring,3691
Victoria,Falls Creek (Vic.),3699
Victoria,Freeburgh,3741
Victoria,Dederang,3691
Victoria,Hotham Heights,3741
Victoria,Dinner Plain,3898
Victoria,Barnawartha,3688
Victoria,Chiltern,3683
Victoria,Indigo Valley,3688
Victoria,Myrtleford,3737
Victoria,Mudgegonga,3737
Victoria,Rosewhite,3737
Victoria,Eurobin,3739
Victoria,Gapsted,3737
Victoria,Bethanga,3691
Victoria,Bellbridge,3691
Victoria,Corryong,3707
Victoria,Talgarno,3691
Victoria,Bullioh,3700
Victoria,Walwa,3709
Victoria,Nariel Valley,3707
Victoria,Tallangatta,3700
Victoria,Eskdale (Vic.),3701
Victoria,Mitta Mitta,3701
Victoria,Tallangatta South,3701
Victoria,Cudgewa,3705
Victoria,Tallangatta Valley,3701
Victoria,West Wodonga,3690
Victoria,Huon Creek,3691
Victoria,Barnawartha North,3691
Victoria,Bonegilla,3691
Victoria,Leneva,3691
Victoria,Staghorn Flat,3691
Victoria,Baranduda,3691
Victoria,Wodonga,3690
Victoria,Bandiana,3694
Victoria,Ebden,3691
Victoria,Yackandandah,3749
Victoria,Tangambalanga,3691
Victoria,Kiewa,3691
Victoria,Osbornes Flat,3691
Victoria,Kergunyah,3691
Victoria,Huon,3691
Victoria,Gundowring,3695
Victoria,Drouin,3818
Victoria,Drouin East,3818
Victoria,Ripplebrook,3818
Victoria,Drouin South,3818
Victoria,Labertouche,3816
Victoria,Longwarry,3816
Victoria,Drouin West,3818
Victoria,Athlone,3818
Victoria,Baw Baw Village,3833
Victoria,Buln Buln East,3821
Victoria,Noojee,3833
Victoria,Hill End (Vic.),3825
Victoria,Erica,3825
Victoria,Tanjil Bren,3833
Victoria,Baw Baw (Vic.),3833
Victoria,Neerim South,3831
Victoria,Willow Grove,3825
Victoria,Rawson,3825
Victoria,Jindivick,3818
Victoria,Neerim,3832
Victoria,Rokeby (Vic.),3821
Victoria,Buln Buln,3821
Victoria,Gentle Annie,3833
Victoria,Tanjil South,3825
Victoria,Neerim East,3831
Victoria,Yarragon,3823
Victoria,Trafalgar (Vic.),3824
Victoria,Narracan,3824
Victoria,Trafalgar South,3824
Victoria,Trafalgar East,3824
Victoria,Childers (Vic.),3824
Victoria,Thorpdale,3835
Victoria,Shady Creek,3821
Victoria,Yarragon South,3823
Victoria,Warragul,3820
Victoria,Warragul South,3821
Victoria,Nilma North,3821
Victoria,Darnum,3822
Victoria,Nilma,3821
Victoria,Hallora,3818
Victoria,Cloverlea,3822
Victoria,Ellinbank,3821
Victoria,Tom Groggin,3885
Victoria,East Bairnsdale,3875
Victoria,Eastwood (Vic.),3875
Victoria,Bairnsdale,3875
Victoria,Wy Yung,3875
Victoria,Lucknow (Vic.),3875
Victoria,Walpa,3875
Victoria,Lindenow,3865
Victoria,Lindenow South,3875
Victoria,Calulu,3875
Victoria,Mount Taylor,3875
Victoria,Clifton Creek,3875
Victoria,Granite Rock,3875
Victoria,Omeo,3898
Victoria,Benambra,3900
Victoria,Swifts Creek,3896
Victoria,Bruthen,3885
Victoria,Tambo Upper,3885
Victoria,Johnsonville,3902
Victoria,Nicholson (Vic.),3882
Victoria,Reedy Flat,3895
Victoria,Sarsfield,3875
Victoria,Dargo,3862
Victoria,Fernbank,3864
Victoria,Mossiface,3885
Victoria,Boole Poole,3880
Victoria,Lakes Entrance,3909
Victoria,Kalimna,3909
Victoria,Swan Reach (Vic.),3903
Victoria,Nungurner,3909
Victoria,Lake Tyers Beach,3909
Victoria,Metung,3904
Victoria,Lake Bunga,3909
Victoria,Orbost,3888
Victoria,Marlo,3888
Victoria,Toorloo Arm,3909
Victoria,Cann River,3890
Victoria,Bendoc,3888
Victoria,Bemm River,3889
Victoria,Bete Bolong,3888
Victoria,Newmerella,3886
Victoria,Buchan,3885
Victoria,Nowa Nowa,3887
Victoria,Mallacoota,3892
Victoria,Genoa,3891
Victoria,Goon Nure,3875
Victoria,Eagle Point,3878
Victoria,Forge Creek,3875
Victoria,Paynesville (Vic.),3880
Victoria,Newlands Arm,3875
Victoria,Raymond Island,3880
Victoria,Forge Creek,3880
Victoria,Venus Bay (Vic.),3956
Victoria,Sandy Point (Vic.),3959
Victoria,Foster,3960
Victoria,Port Welshpool,3965
Victoria,Welshpool (Vic.),3966
Victoria,Woorarra West,3960
Victoria,Toora (Vic.),3962
Victoria,Meeniyan,3956
Victoria,Dumbalk,3956
Victoria,Stony Creek,3957
Victoria,Toora North,3962
Victoria,Buffalo,3958
Victoria,Fish Creek,3959
Victoria,Walkerville (Vic.),3956
Victoria,Yanakie,3960
Victoria,Tarwin Lower,3956
Victoria,French Island,3921
Victoria,Korumburra,3950
Victoria,Poowong,3988
Victoria,Nyora (Vic.),3987
Victoria,Kardella,3951
Victoria,Outtrim,3951
Victoria,Bena,3951
Victoria,Strzelecki (Vic.),3950
Victoria,Poowong North,3988
Victoria,Loch,3945
Victoria,Mirboo North,3871
Victoria,Leongatha,3953
Victoria,Hallston,3953
Victoria,Leongatha North,3953
Victoria,Koonwarra,3954
Victoria,Leongatha South,3953
Victoria,Nerrena,3953
Victoria,Mirboo,3871
Victoria,Cowes,3922
Victoria,Cape Woolamai,3925
Victoria,Surf Beach (Vic.),3922
Victoria,Sunset Strip (Vic.),3922
Victoria,Silverleaves,3922
Victoria,Smiths Beach,3922
Victoria,Wimbledon Heights,3922
Victoria,Ventnor (Vic.),3922
Victoria,Rhyll,3923
Victoria,Newhaven,3925
Victoria,Wilsons Promontory,3960
Victoria,Inverloch,3996
Victoria,Lance Creek,3995
Victoria,Glen Alvie,3979
Victoria,Woolamai,3995
Victoria,Pioneer Bay,3984
Victoria,Krowera,3979
Victoria,Tenby Point,3984
Victoria,Unclassified (Vic.),3996
Victoria,Dalyston,3992
Victoria,Wonthaggi,3995
Victoria,The Gurdies,3984
Victoria,South Dudley,3995
Victoria,Kilcunda,3995
Victoria,San Remo (Vic.),3925
Victoria,North Wonthaggi,3995
Victoria,Cape Paterson,3995
Victoria,Bass,3991
Victoria,Coronet Bay,3984
Victoria,Corinella (Vic.),3984
Victoria,Wattle Bank,3995
Victoria,Grantville,3984
Victoria,Harmers Haven,3995
Victoria,Churchill (Vic.),3842
Victoria,Hazelwood,3840
Victoria,Jeeralang Junction,3840
Victoria,Yinnar South,3869
Victoria,Budgeree,3870
Victoria,Boolarra South,3870
Victoria,Yinnar,3869
Victoria,Hazelwood North,3840
Victoria,Boolarra,3870
Victoria,Hazelwood South,3840
Victoria,Callignee,3844
Victoria,Traralgon South,3844
Victoria,Newborough,3825
Victoria,Moe,3825
Victoria,Hernes Oak,3825
Victoria,Yallourn,3825
Victoria,Moe South,3825
Victoria,Morwell,3840
Victoria,Traralgon,3844
Victoria,Traralgon East,3844
Victoria,Glengarry (Vic.),3854
Victoria,Toongabbie (Vic.),3856
Victoria,Yallourn North,3825
Victoria,Tyers,3844
Victoria,Glengarry North,3854
Victoria,Licola,3858
Victoria,Golden Beach (Vic.),3851
Victoria,Meerlieu,3862
Victoria,Cobains,3851
Victoria,Longford (Vic.),3851
Victoria,Lake Wellington,3851
Victoria,Stradbroke,3851
Victoria,Ocean Grange,3880
Victoria,Loch Sport,3851
Victoria,Seaspray,3851
Victoria,East Sale,3852
Victoria,Stratford (Vic.),3862
Victoria,Briagolong,3860
Victoria,Boisdale,3860
Victoria,Coongulla,3860
Victoria,Newry,3859
Victoria,Heyfield,3858
Victoria,Glenmaggie,3858
Victoria,Maffra (Vic.),3860
Victoria,Tinamba,3859
Victoria,Munro,3862
Victoria,Bundalaguah,3851
Victoria,Seaton (Vic.),3858
Victoria,Rosedale (Vic.),3847
Victoria,Fulham (Vic.),3851
Victoria,Gormandale,3873
Victoria,Nambrok,3847
Victoria,Denison,3858
Victoria,Cowwarr,3857
Victoria,Sale,3850
Victoria,Wurruk,3850
Victoria,Carrajung,3844
Victoria,Won Wron,3971
Victoria,Devon North,3971
Victoria,Binginwarri,3966
Victoria,Jack River,3971
Victoria,Willung South,3847
Victoria,Manns Beach,3971
Victoria,Port Albert,3971
Victoria,Alberton (Vic.),3971
Victoria,Robertsons Beach,3971
Victoria,Woodside (Vic.),3874
Victoria,Yarram,3971
Victoria,Brunswick (Vic.),3056
Victoria,Brunswick East,3057
Victoria,Brunswick West,3055
Victoria,Coburg,3058
Victoria,Pascoe Vale South,3044
Victoria,Alphington,3078
Victoria,Fairfield (Vic.),3078
Victoria,Northcote,3070
Victoria,Thornbury,3071
Victoria,Ascot Vale,3032
Victoria,Essendon,3040
Victoria,Aberfeldie,3040
Victoria,Essendon North,3041
Victoria,Flemington,3031
Victoria,Travancore,3032
Victoria,Moonee Ponds,3039
Victoria,Carlton (Vic.),3053
Victoria,Melbourne,3000
Victoria,Docklands,3008
Victoria,Docklands,3005
Victoria,East Melbourne,3002
Victoria,Melbourne,3004
Victoria,Kensington (Vic.),3031
Victoria,West Melbourne,3003
Victoria,North Melbourne,3051
Victoria,Parkville (Vic.),3052
Victoria,Parkville (Vic.),3010
Victoria,South Yarra,3141
Victoria,Southbank,3006
Victoria,South Wharf,3006
Victoria,Albert Park (Vic.),3206
Victoria,Middle Park (Vic.),3206
Victoria,Elwood,3184
Victoria,Port Melbourne,3207
Victoria,South Melbourne,3205
Victoria,St Kilda (Vic.),3182
Victoria,St Kilda West,3182
Victoria,Windsor (Vic.),3181
Victoria,St Kilda East,3183
Victoria,Balaclava (Vic.),3183
Victoria,Ripponlea,3185
Victoria,Armadale (Vic.),3143
Victoria,Prahran,3181
Victoria,Toorak,3142
Victoria,Abbotsford (Vic.),3067
Victoria,Carlton North,3054
Victoria,Princes Hill,3054
Victoria,Collingwood (Vic.),3066
Victoria,Fitzroy (Vic.),3065
Victoria,Fitzroy North,3068
Victoria,Richmond (Vic.),3121
Victoria,Burnley,3121
Victoria,Cremorne (Vic.),3121
Victoria,Clifton Hill,3068
Victoria,Ashburton,3147
Victoria,Balwyn,3103
Victoria,Mont Albert,3127
Victoria,Deepdene (Vic.),3103
Victoria,Balwyn North,3104
Victoria,Camberwell (Vic.),3124
Victoria,Glen Iris (Vic.),3146
Victoria,Hawthorn (Vic.),3122
Victoria,Hawthorn East,3123
Victoria,Kew (Vic.),3101
Victoria,Kew East,3102
Victoria,Surrey Hills,3127
Victoria,Canterbury (Vic.),3126
Victoria,Bulleen,3105
Victoria,Doncaster,3108
Victoria,Doncaster East,3109
Victoria,Templestowe,3106
Victoria,Templestowe Lower,3107
Victoria,Blackburn North,3130
Victoria,Blackburn,3130
Victoria,Blackburn South,3130
Victoria,Box Hill (Vic.),3128
Victoria,Box Hill South,3128
Victoria,Mont Albert North,3129
Victoria,Box Hill North,3129
Victoria,Burwood (Vic.),3125
Victoria,Burwood East,3151
Victoria,Black Rock (Vic.),3193
Victoria,Beaumaris (Vic.),3193
Victoria,Brighton (Vic.),3186
Victoria,Brighton East,3187
Victoria,Highett,3190
Victoria,Cheltenham (Vic.),3192
Victoria,Hampton (Vic.),3188
Victoria,Hampton East,3188
